Export: MvN10-101-85764,,,,
Time: 07:28:53Z,,,,
Records: 130,,,,
Has header: True,,,,
,,,,
,,,,
ProductKey,ProductSubcategoryKey,Product_New,Unit_Cost,Unit_Price
201,8,"Kit, Patch",0.97,1.99
202,8,"Tube, Tire Road",1.49,4.99
203,8,"Tube, Touring",2.25,5.49
204,8,"Tube, Mountain",2.25,5.49
205,8,"Mountain Tire, High Load",12.99,39.99
206,8,"Road Tire, All",7.99,24.99
207,8,"Road Tire, High Load",12.99,33.49
208,8,Touring Tire,10.99,29.99
209,8,"Mountain Tire, Medium Duty",10.99,29.99
210,8,"Mountain Tire, All",9.99,24.99
211,8,"Road Tire, Medium Duty",9.99,25.99
212,14,"LS Competition Jersey, M",38.5,50
213,14,"LS Competition Jersey, XL",44.5,56
214,14,"LS Competition Jersey, S",35,48
215,14,"LS Competition Jersey, L",40,52
216,14,"SS Throwback Jersey, L",38,50
217,14,"SS Throwback Jersey, S",34,54
218,14,"SS Throwback Jersey, M",35,56
219,14,"SS Throwback Jersey, XL",45,59
220,17,"Vest, Cold Weather, L",24,64
221,17,"Vest, Cold Weather, S",24,62
222,17,"Vest, Cold Weather, M",24,63
223,2,Technicians Work Stand,59,159.99
224,12,"Schwinn Touring-1000 Yellow, 50",1526.46,2479.36
225,10,"GT MTB-100 Black, 38",1954.94,3510
226,10,"GT MTB-200 Black, 38",1289.56,2386.8
227,10,"GT MTB-200 Black, 46",1289.56,2386.8
228,10,"GT MTB-200 Green, 38",1303.98,2412.8
229,10,"GT MTB-200 Green, 42",1303.98,2412.8
230,10,"GT MTB-500 Black, 48",303.85,561.6
231,10,"GT MTB-200 Black, 42",1289.56,2386.8
232,10,"GT MTB-200 Green, 46",1303.98,2412.8
233,10,"GT MTB-500 Black, 52",303.85,561.6
234,10,"GT MTB-500 Green, 42",317.24,587.6
235,10,"GT MTB-500 Black, 44",303.85,561.6
236,10,"GT MTB-400-W Green, 40",432.6,799.76
237,10,"GT MTB-400-W Green, 38",432.6,799.76
238,10,"GT MTB-400-W Green, 46",432.6,799.76
239,10,"GT MTB-400-W Green, 42",432.6,799.76
240,10,"GT MTB-500 Black, 42",303.85,561.6
241,10,"GT MTB-100 Black, 48",1954.94,3510
242,10,"GT MTB-100 Green, 42",1969.36,3536
243,10,"GT MTB-100 Green, 38",1969.36,3536
244,11,"Trek-150 Red, 48",2236.13,3721.12
245,11,"Trek-150 Red, 44",2236.13,3721.12
246,11,"Trek-150 Red, 56",2236.13,3721.12
247,11,"Trek-550-W Yellow, 48",734.39,1164.8
248,11,"Trek-150 Red, 52",2236.13,3721.12
249,11,"Trek-750 Black, 48",354.32,561.6
250,11,"Trek-150 Red, 62",2236.13,3721.12
251,11,"Trek-250 Red, 52",1564.57,2540.72
252,11,"Trek-250 Red, 44",1564.57,2540.72
253,11,"Trek-250 Black, 44",1601.65,2540.72
254,11,"Trek-250 Red, 48",1564.57,2540.72
255,11,"Trek-250 Red, 58",1601.65,2540.72
256,11,"Trek-250 Black, 52",1601.65,2540.72
257,11,"Trek-350-W Yellow, 44",1115.49,1769.04
258,11,"Trek-650 Red, 48",501.61,814.32
259,11,"Trek-250 Black, 48",1601.65,2540.72
260,11,"Trek-650 Red, 58",501.61,814.32
261,11,"Trek-750 Black, 52",354.32,561.6
262,11,"Trek-250 Black, 58",1601.65,2540.72
263,11,"Trek-350-W Yellow, 42",1115.49,1769.04
264,11,"Trek-350-W Yellow, 40",1115.49,1769.04
265,11,"Trek-550-W Yellow, 42",734.39,1164.8
266,11,"Trek-650 Black, 52",501.61,814.32
267,11,"Trek-650 Black, 44",501.61,814.32
268,11,"Trek-550-W Yellow, 44",734.39,1164.8
269,11,"Trek-550-W Yellow, 40",734.39,1164.8
270,11,"Trek-650 Red, 60",501.61,814.32
271,11,"Trek-550-W Yellow, 38",734.39,1164.8
272,11,"Trek-650 Red, 52",501.61,814.32
273,11,"Trek-750 Black, 44",354.32,561.6
274,11,"Trek-350-W Yellow, 48",1115.49,1769.04
275,11,"Trek-750 Black, 58",354.32,561.6
276,11,"Trek-650 Red, 44",501.61,814.32
277,11,"Trek-650 Black, 48",501.61,814.32
278,1,Bike Rack,45,179
279,15,"Bike Shorts, Padded, S",18,68
280,15,"Bike Shorts, Padded, L",22,72
281,15,"Bike Shorts, Padded, M",20,70
282,7,"Hydration Pack, 2.07L",20,59
283,12,"Schwinn Touring-2000 Blue, 50",767.35,1263.6
284,12,"Schwinn Touring-2000 Blue, 60",777.65,1263.6
285,12,"Schwinn Touring-2000 Blue, 54",777.65,1263.6
286,12,"Schwinn Touring-2000 Blue, 46",777.65,1263.6
287,12,"Schwinn Touring-3000 Blue, 58",474.83,771.68
288,12,"Schwinn Touring-3000 Blue, 44",474.83,771.68
289,12,"Schwinn Touring-3000 Blue, 62",474.83,771.68
290,12,"Schwinn Touring-3000 Yellow, 44",474.83,771.68
291,12,"Schwinn Touring-3000 Yellow, 50",474.83,771.68
292,12,"Schwinn Touring-3000 Yellow, 58",474.83,771.68
293,12,"Schwinn Touring-3000 Yellow, 54",474.83,771.68
294,12,"Schwinn Touring-3000 Blue, 54",474.83,771.68
295,12,"Schwinn Touring-3000 Blue, 50",474.83,771.68
296,12,"Schwinn Touring-3000 Yellow, 62",474.83,771.68
297,12,"Schwinn Touring-1000 Yellow, 46",1526.46,2479.36
298,12,"Schwinn Touring-1000 Yellow, 60",1526.46,2479.36
299,12,"Schwinn Touring-1000 Yellow, 54",1526.46,2479.36
300,12,"Schwinn Touring-1000 Blue, 46",1526.46,2479.36
301,12,"Schwinn Touring-1000 Blue, 54",1526.46,2479.36
302,12,"Schwinn Touring-1000 Blue, 60",1526.46,2479.36
303,12,"Schwinn Touring-1000 Blue, 50",1526.46,2479.36
304,10,"GT MTB-100 Green, 48",1969.36,3536
305,10,"GT MTB-100 Black, 44",1954.94,3510
306,10,"GT MTB-100 Green, 44",1969.36,3536
307,10,"GT MTB-500 Green, 40",317.24,587.6
308,10,"GT MTB-100 Black, 42",1954.94,3510
